Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Jordan Clarkson\clarkjo01,71,24.0,.454,.368,.542,2.6,1.9,0.6,0.2,15.2
Jordan Clarkson\clarkjo01,29,23.0,.442,.371,.532,2.4,2.4,0.6,0.3,14.6
Jordan Clarkson\clarkjo01,42,24.7,.462,.366,.548,2.8,1.6,0.7,0.2,15.6
Nic Claxton\claxtni01,15,12.5,.563,.143,.573,2.9,1.1,0.1,0.5,4.4
Chris Clemons\clemoch01,33,8.8,.401,.346,.532,0.9,0.8,0.3,0.2,4.9
Antonius Cleveland\clevean01,11,4.2,.286,.000,.286,0.6,0.1,0.1,0.3,1.0
Amir Coffey\coffeam01,18,8.8,.426,.316,.481,0.9,0.8,0.3,0.1,3.2
John Collins\collijo01,41,33.2,.583,.401,.632,10.1,1.5,0.8,1.6,21.6
Zach Collins\colliza01,11,26.4,.471,.368,.522,6.3,1.5,0.5,0.5,7.0
Mike Conley\conlemi01,47,29.0,.409,.375,.494,3.2,4.4,0.8,0.1,14.4
Pat Connaughton\connapa01,67,18.6,.455,.331,.547,4.2,1.6,0.4,0.5,5.4
Quinn Cook\cookqu01,44,11.5,.425,.365,.498,1.2,1.1,0.3,0.0,5.1
Tyler Cook\cookty01,13,4.2,.667,,.667,1.1,0.1,0.2,0.0,1.8
Tyler Cook\cookty01,11,3.2,.700,,.700,0.9,0.1,0.1,0.0,1.7
Tyler Cook\cookty01,2,9.5,.500,,.500,2.0,0.0,1.0,0.0,2.0
Robert Covington\covinro01,70,30.5,.422,.335,.533,6.6,1.3,1.6,1.3,12.4
Robert Covington\covinro01,48,29.4,.435,.346,.544,6.0,1.2,1.7,0.9,12.8
Robert Covington\covinro01,22,33.0,.392,.315,.509,8.0,1.5,1.6,2.2,11.6
Allen Crabbe\crabbal01,37,17.6,.356,.303,.458,2.1,0.9,0.4,0.1,4.6
Allen Crabbe\crabbal01,28,18.6,.364,.323,.469,2.3,1.0,0.5,0.1,5.1
Allen Crabbe\crabbal01,9,14.6,.324,.231,.412,1.3,0.6,0.0,0.0,3.2
Torrey Craig\craigto01,58,18.5,.461,.326,.545,3.3,0.8,0.4,0.6,5.4
Jamal Crawford\crawfja01,1,6.0,.500,.500,.625,0.0,3.0,0.0,0.0,5.0
Jae Crowder\crowdja01,65,28.8,.401,.343,.521,5.9,2.5,1.1,0.4,10.5
Jae Crowder\crowdja01,45,29.4,.368,.293,.466,6.2,2.8,1.0,0.3,9.9
Jae Crowder\crowdja01,20,27.7,.482,.445,.655,5.4,1.8,1.3,0.5,11.9
Jarrett Culver\culveja01,63,23.9,.404,.299,.462,3.4,1.7,0.9,0.6,9.2
Seth Curry\curryse01,64,24.6,.495,.452,.621,2.3,1.9,0.6,0.1,12.4
Stephen Curry\curryst01,5,27.8,.402,.245,.476,5.2,6.6,1.0,0.4,20.8
Troy Daniels\danietr01,47,11.3,.387,.348,.511,1.1,0.4,0.2,0.1,4.3
Troy Daniels\danietr01,41,11.1,.392,.357,.519,1.1,0.3,0.2,0.1,4.2
Troy Daniels\danietr01,6,12.7,.357,.300,.464,1.0,0.5,0.5,0.0,4.3
Anthony Davis\davisan02,62,34.4,.503,.330,.536,9.3,3.2,1.5,2.3,26.1
Ed Davis\davised01,28,10.8,.478,,.478,3.8,0.4,0.4,0.3,1.8
Terence Davis\daviste02,72,16.8,.456,.388,.564,3.3,1.6,0.5,0.2,7.5
Dewayne Dedmon\dedmode01,44,17.6,.400,.206,.443,5.7,0.5,0.6,0.9,5.8
Dewayne Dedmon\dedmode01,34,15.9,.404,.197,.444,4.9,0.4,0.4,0.8,5.1
Dewayne Dedmon\dedmode01,10,23.3,.393,.222,.440,8.2,0.7,1.0,1.5,8.1
Matthew Dellavedova\dellama01,57,14.4,.354,.231,.414,1.3,3.2,0.4,0.0,3.1
DeMar DeRozan\derozde01,68,34.1,.531,.257,.535,5.5,5.6,1.0,0.3,22.1
Cheick Diallo\diallch01,47,10.2,.648,.333,.651,2.8,0.5,0.2,0.3,4.7
Hamidou Diallo\diallha01,46,19.5,.446,.281,.473,3.6,0.8,0.8,0.2,6.9
Gorgui Dieng\dienggo01,63,17.4,.456,.355,.530,5.6,1.2,0.8,0.9,7.4
Gorgui Dieng\dienggo01,46,16.9,.448,.383,.531,5.6,1.3,0.8,0.9,7.4
Gorgui Dieng\dienggo01,17,18.7,.483,.250,.529,5.8,0.9,0.8,1.0,7.2
Spencer Dinwiddie\dinwisp01,64,31.2,.415,.308,.476,3.5,6.8,0.6,0.3,20.6
Donte DiVincenzo\divindo01,66,23.0,.455,.336,.536,4.8,2.3,1.3,0.3,9.2
Luka Dončić\doncilu01,61,33.6,.463,.316,.531,9.4,8.8,1.0,0.2,28.8
Luguentz Dort\dortlu01,36,22.8,.394,.297,.463,2.3,0.8,0.9,0.1,6.8
