Player,PER,TS%,WS,BPM,VORP
Langston Galloway\gallola01,12.3,.584,3.1,-0.8,0.5
Darius Garland\garlada01,8.5,.498,-1.3,-5.5,-1.7
Marc Gasol\gasolma01,11.8,.551,3.0,1.6,1.1
Rudy Gay\gayru01,15.4,.553,2.1,-0.8,0.4
Paul George\georgpa01,21.1,.589,4.8,4.9,2.5
Taj Gibson\gibsota01,16.1,.610,2.6,-1.1,0.2
Harry Giles\gilesha01,16.4,.580,1.6,-1.3,0.1
Shai Gilgeous-Alexander\gilgesh01,17.7,.568,6.1,1.7,2.2
Rudy Gobert\goberru01,21.7,.699,10.7,3.6,3.3
Brandon Goodwin\goodwbr01,11.6,.507,0.1,-2.9,-0.1
Aaron Gordon\gordoaa01,15.1,.516,3.7,0.0,1.0
Eric Gordon\gordoer01,10.3,.510,0.5,-3.9,-0.5
Devonte' Graham\grahade01,15.8,.537,3.4,0.5,1.4
Treveon Graham\grahatr01,6.6,.456,0.2,-5.6,-0.8
Treveon Graham\grahatr01,6.0,.447,0.1,-5.8,-0.6
Treveon Graham\grahatr01,8.0,.478,0.1,-5.0,-0.2
Jerami Grant\grantje01,14.4,.591,4.4,-0.5,0.7
Jerian Grant\grantje02,6.6,.449,0.0,-6.5,-0.1
Josh Gray\grayjo01,-5.0,.500,-0.1,-16.0,-0.1
Danny Green\greenda02,10.8,.552,3.4,0.5,1.1
Draymond Green\greendr01,12.5,.489,1.1,-0.2,0.5
JaMychal Green\greenja01,11.1,.576,3.1,-0.5,0.5
Javonte Green\greenja02,13.1,.564,1.1,-0.7,0.2
Jeff Green\greenje02,13.7,.590,2.1,-0.1,0.5
Jeff Green\greenje02,10.0,.523,0.5,-2.1,0.0
Jeff Green\greenje02,18.6,.682,1.5,2.6,0.5
Blake Griffin\griffbl01,11.9,.476,-0.1,-4.3,-0.3
Marko Guduric\gudurma01,8.8,.514,0.1,-3.4,-0.2
Kyle Guy\guyky01,6.6,.400,0.0,-12.3,0.0
Rui Hachimura\hachiru01,13.5,.535,1.8,-3.2,-0.4
Devon Hall\hallde01,3.1,.298,-0.2,-6.7,-0.1
