Player,PER,TS%,WS,BPM,VORP
Troy Daniels\danietr01,9.8,.583,1.4,-2.6,-0.3
Anthony Davis\davisan02,28.9,.612,13.7,6.7,5.9
Deyonta Davis\davisde01,16.6,.621,2.7,-1.5,0.1
Ed Davis\davised01,15.5,.607,5.0,-0.6,0.5
Dewayne Dedmon\dedmode01,15.8,.599,3.7,0.1,0.8
Sam Dekker\dekkesa01,11.5,.534,1.2,-2.9,-0.2
Malcolm Delaney\delanma01,10.6,.519,1.0,-2.6,-0.1
Matthew Dellavedova\dellama01,8.6,.500,0.5,-4.4,-0.4
Luol Deng\denglu01,5.5,.500,0.0,-2.9,0.0
DeMar DeRozan\derozde01,21.0,.555,9.6,2.8,3.2
Cheick Diallo\diallch01,17.0,.619,1.9,-1.2,0.1
Gorgui Dieng\dienggo01,14.7,.543,2.9,-1.0,0.3
Spencer Dinwiddie\dinwisp01,15.9,.527,5.7,0.6,1.5
Tyler Dorsey\dorsety01,10.0,.494,0.4,-2.9,-0.2
Damyean Dotson\dotsoda01,11.6,.532,0.6,-2.3,0.0
Milton Doyle\doylemi01,5.2,.337,-0.1,-6.8,-0.1
PJ Dozier\doziepj01,-5.0,.500,0.0,-20.4,0.0
Goran Dragić\dragigo01,16.6,.543,5.3,0.3,1.4
Larry Drew II\drewla02,2.9,.354,-0.1,-9.0,-0.1
Larry Drew II\drewla02,-9.4,.143,-0.1,-22.6,-0.1
Larry Drew II\drewla02,6.3,.441,0.0,-5.3,0.0
Andre Drummond\drumman01,22.9,.555,10.3,3.2,3.4
Jared Dudley\dudleja01,8.8,.553,0.8,-2.5,-0.1
Kris Dunn\dunnkr01,14.5,.488,0.9,-1.3,0.3
Kevin Durant\duranke01,26.0,.640,10.4,7.3,5.5
Jarell Eddie\eddieja01,-1.9,.000,0.0,-8.3,0.0
Jarell Eddie\eddieja01,4.0,.000,0.0,-1.3,0.0
Jarell Eddie\eddieja01,-13.5,.000,0.0,-22.1,0.0
Henry Ellenson\ellenhe01,10.5,.476,0.1,-4.4,-0.2
Wayne Ellington\ellinwa01,12.5,.588,4.5,0.4,1.2
Joel Embiid\embiijo01,22.9,.573,6.2,3.3,2.6
James Ennis III\ennisja01,11.6,.588,3.1,-1.2,0.3
James Ennis III\ennisja01,11.9,.610,2.0,-0.6,0.4
James Ennis III\ennisja01,11.2,.558,1.0,-2.3,-0.1
Tyler Ennis\ennisty01,11.1,.473,0.8,-2.1,0.0
Jawun Evans\evansja01,7.2,.421,-0.2,-5.0,-0.6
Jeremy Evans\evansje01,10.4,1.000,0.0,-9.9,0.0
Tyreke Evans\evansty01,21.1,.561,4.2,4.5,2.6
Dante Exum\exumda01,16.7,.566,0.7,0.1,0.1
Kenneth Faried\farieke01,17.4,.552,1.3,-2.1,0.0
Derrick Favors\favorde01,18.8,.593,8.0,1.5,1.9
Kay Felder\feldeka01,3.6,.379,-0.5,-11.1,-0.3
Kay Felder\feldeka01,3.6,.386,-0.5,-10.7,-0.3
Kay Felder\feldeka01,2.0,.250,0.0,-21.4,0.0
Cristiano Felício\feliccr01,12.5,.614,1.7,-3.9,-0.5
Raymond Felton\feltora01,13.0,.494,2.2,-0.6,0.5
Terrance Ferguson\fergute01,7.4,.545,1.2,-3.3,-0.3
Yogi Ferrell\ferreyo01,11.4,.540,3.0,-1.4,0.4
Dorian Finney-Smith\finnedo01,7.6,.482,0.1,-4.6,-0.3
Bryn Forbes\forbebr01,9.1,.525,2.1,-3.1,-0.4
Evan Fournier\fournev01,15.5,.577,3.3,-0.6,0.7
De'Aaron Fox\foxde01,11.2,.478,-0.6,-4.2,-1.1
Tim Frazier\fraziti01,11.3,.475,1.4,-0.9,0.2
Enes Freedom\kanteen01,24.0,.630,7.6,2.2,1.9
Channing Frye\fryech01,13.1,.599,1.5,-0.5,0.3
Channing Frye\fryech01,13.9,.604,1.2,-0.3,0.3
Channing Frye\fryech01,10.2,.581,0.3,-1.5,0.0
Markelle Fultz\fultzma01,12.4,.416,0.2,-2.6,0.0
Danilo Gallinari\gallida01,13.8,.545,1.2,-0.5,0.3
Langston Galloway\gallola01,12.2,.503,1.4,0.1,0.5
Marc Gasol\gasolma01,17.4,.532,4.0,2.3,2.7
Pau Gasol\gasolpa01,18.9,.539,6.0,3.4,2.5
Rudy Gay\gayru01,18.0,.545,3.1,0.8,0.9
Paul George\georgpa01,18.7,.570,8.9,2.9,3.6
Marcus Georges-Hunt\georgma01,6.9,.515,0.2,-5.1,-0.2
Jonathan Gibson\gibsojo01,25.4,.739,0.2,4.1,0.1
Taj Gibson\gibsota01,15.4,.610,7.2,-0.5,1.0
Manu Ginóbili*\ginobma01,12.9,.553,2.2,-1.3,0.2
Rudy Gobert\goberru01,20.7,.657,8.1,3.4,2.5
Aaron Gordon\gordoaa01,16.5,.530,2.9,0.3,1.1
Eric Gordon\gordoer01,15.2,.578,4.7,0.4,1.3
Marcin Gortat\gortama01,14.7,.546,4.9,-0.6,0.8
Treveon Graham\grahatr01,9.0,.553,1.8,-2.7,-0.2
Jerami Grant\grantje01,16.2,.607,5.4,0.3,1.0
Jerian Grant\grantje02,14.3,.528,3.3,-1.3,0.3
Josh Gray\grayjo01,7.2,.349,-0.2,-4.2,0.0
Danny Green\greenda02,11.4,.509,2.9,0.4,1.1
Draymond Green\greendr01,16.1,.556,6.1,2.8,2.8
Gerald Green\greenge01,14.1,.566,2.1,0.3,0.5
JaMychal Green\greenja01,14.0,.530,2.6,-2.3,-0.1
Jeff Green\greenje02,14.8,.587,3.9,-1.8,0.1
Blake Griffin\griffbl01,19.6,.544,4.9,3.4,2.7
Blake Griffin\griffbl01,20.4,.553,3.0,3.4,1.6
Blake Griffin\griffbl01,18.5,.531,1.9,3.4,1.1
Daniel Hamilton\hamilda02,18.2,.545,0.1,2.3,0.0
Tim Hardaway Jr.\hardati02,14.4,.533,2.6,-0.6,0.7
James Harden\hardeja01,29.8,.619,15.4,9.9,7.7
Maurice Harkless\harklma01,12.6,.596,3.2,1.4,1.1
Montrezl Harrell\harremo01,24.7,.647,5.5,3.3,1.7
Devin Harris\harride01,13.0,.563,2.5,-1.8,0.1
Devin Harris\harride01,13.5,.560,1.4,-1.0,0.2
Devin Harris\harride01,12.4,.568,1.1,-2.9,-0.1
Gary Harris\harriga01,16.5,.597,5.5,0.8,1.7
Joe Harris\harrijo01,13.3,.634,4.0,0.1,1.0
Tobias Harris\harrito02,17.1,.565,6.7,1.9,2.6
Tobias Harris\harrito02,16.7,.564,4.1,1.7,1.5
Tobias Harris\harrito02,17.7,.565,2.6,2.1,1.2
Aaron Harrison\harriaa01,5.1,.392,-0.1,-7.5,-0.3
Andrew Harrison\harrian01,12.7,.534,1.7,-1.5,0.2
Shaquille Harrison\harrish01,15.6,.540,0.8,-0.7,0.1
Josh Hart\hartjo01,12.2,.596,3.4,-0.1,0.7
Udonis Haslem\hasleud01,1.8,.252,-0.1,-7.7,-0.1
Nigel Hayes\hayesni01,6.4,.393,-0.1,-3.8,-0.1
Nigel Hayes\hayesni01,9.8,.436,0.0,-1.7,0.0
Nigel Hayes\hayesni01,34.9,1.500,0.0,18.2,0.0
Nigel Hayes\hayesni01,4.4,.312,-0.1,-5.2,-0.1
Gordon Hayward\haywago01,7.3,.500,0.0,-7.4,0.0
Reggie Hearn\hearnre01,13.1,.750,0.0,1.5,0.0
Myke Henry\henrymy01,9.7,.472,0.1,-1.3,0.1
John Henson\hensojo01,15.7,.582,4.9,-0.9,0.5
Juancho Hernangómez\hernaju01,9.7,.511,0.4,-3.3,-0.1
Willy Hernangómez\hernawi01,21.2,.604,1.8,1.4,0.4
Willy Hernangómez\hernawi01,16.9,.595,0.3,-0.3,0.1
Willy Hernangómez\hernawi01,25.0,.612,1.5,2.8,0.3
Mario Hezonja\hezonma01,13.7,.544,2.3,-0.5,0.6
Isaiah Hicks\hicksis01,6.8,.501,0.0,-7.6,-0.3
Buddy Hield\hieldbu01,16.1,.557,2.8,1.0,1.5
Nenê\hilarne01,16.4,.594,2.6,-1.0,0.2
George Hill\hillge01,13.3,.580,3.2,-0.8,0.6
George Hill\hillge01,14.0,.597,2.1,-0.5,0.4
George Hill\hillge01,12.2,.551,1.1,-1.2,0.1
Solomon Hill\hillso01,4.8,.332,-0.1,-4.8,-0.1
Darrun Hilliard\hillida01,3.4,.362,0.0,-7.9,-0.1
Jrue Holiday\holidjr01,17.8,.570,7.1,1.6,2.7
Justin Holiday\holidju01,10.8,.513,1.7,-1.9,0.0
John Holland\hollajo02,5.9,.417,-0.2,-5.5,-0.2
Rondae Hollis-Jefferson\holliro01,16.9,.548,4.1,0.1,1.0
Richaun Holmes\holmeri01,17.4,.585,2.8,1.1,0.6
Rodney Hood\hoodro01,14.3,.546,2.7,-0.1,0.8
Rodney Hood\hoodro01,15.1,.551,1.9,0.5,0.7
Rodney Hood\hoodro01,12.7,.533,0.8,-1.5,0.1
Scotty Hopson\hopsosc01,-4.6,.266,0.0,-14.0,0.0
Al Horford\horfoal01,17.6,.575,7.8,4.4,3.7
Danuel House Jr.\houseda01,12.4,.533,0.6,-1.6,0.0
Dwight Howard\howardw01,20.5,.577,6.8,-0.1,1.2
Josh Huestis\huestjo01,5.4,.417,0.5,-3.9,-0.5
R.J. Hunter\hunterj01,8.5,.455,0.0,-3.3,0.0
Vince Hunter\huntevi01,35.8,.600,0.0,9.7,0.0
Serge Ibaka\ibakase01,14.7,.574,5.1,-0.1,1.0
Andre Iguodala\iguodan01,11.2,.536,3.2,-0.3,0.7
Ersan İlyasova\ilyaser01,14.9,.558,4.0,-0.6,0.6
Ersan İlyasova\ilyaser01,15.1,.569,2.6,-0.1,0.6
Ersan İlyasova\ilyaser01,14.6,.537,1.4,-1.6,0.1
Joe Ingles\inglejo01,14.4,.623,7.6,2.3,2.8
Andre Ingram\ingraan01,16.3,.655,0.2,4.3,0.1
