FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS,PER,TS%,WS,BPM,VORP,All-star
0.453,0.353,0.526,8,4.4,1,0.6,26.9,21.8,0.578,9.6,4.9,4.8,yes
0.529,0.41,0.591,9.8,3.6,1,1.1,24.6,24.1,0.64,10.3,5,4.4,yes
0.414,0.383,0.511,2.7,2,1.7,0.3,18.3,14.7,0.546,5.6,0.2,1.3,no
0.509,0.333,0.587,7.1,1,0.7,2.8,12.9,17.4,0.615,3.1,1.4,1.1,no
0.544,0.361,0.574,11.4,2.6,0.6,0.8,17.8,21.2,0.617,7.3,1.9,2.2,no
0.403,0.377,0.513,4.4,6.7,1.7,0.5,20.3,17.3,0.552,6.7,3.6,3.5,yes
0.473,0.314,0.518,11,3.2,1,1,17.6,18.2,0.533,4.5,0.9,1.8,no
0.468,0.354,0.517,4.5,2.9,0.9,0.4,15.2,14.7,0.559,4,-0.7,0.8,no
0.444,0.298,0.476,7.4,7.1,1,0.3,18.5,15,0.512,1.7,-1.6,0.2,no
0.421,0.312,0.493,3.5,4.9,0.9,0.8,13.2,14.8,0.549,5.1,0.9,1.6,no
0.466,0.393,0.543,4.5,2.2,1,0.7,17.2,15,0.56,5.1,0.4,1.4,yes
0.736,0,0.736,9.6,2,0.9,2.2,10,22.1,0.745,9.9,5.5,3.4,no
0.501,0.39,0.576,10.1,2.3,0.8,1,17.9,19.1,0.595,4.9,1.6,1.9,no
0.46,0.382,0.536,3.7,9.7,0.9,0.1,28.4,25.4,0.603,10,5.2,4.8,yes
0.57,0.25,0.571,9,5.4,1.2,1,18.7,22.7,0.626,8.8,4.9,3.7,no
0.618,0.316,0.624,10,1.7,0.5,1.4,12.8,20.1,0.661,6.4,1.1,1.4,no
0.569,0.303,0.6,11,5.9,1.2,1.2,28.1,29.2,0.633,10.2,9,5.6,yes
0.48,0.398,0.58,5.5,2.2,1.5,0.7,15.9,15.4,0.605,3.1,1.2,1.2,no
0.626,0.2,0.629,10.5,1.4,0.6,1.2,14.4,20.3,0.653,8.4,1.2,1.7,no
0.414,0.378,0.537,4.8,5.7,1.5,0.6,14.6,15.2,0.551,3.2,1.7,1.6,no
0.497,0.391,0.575,6.6,3.5,0.7,0.2,16.1,15.4,0.626,4.5,0.2,1.1,no
0.441,0.401,0.499,5.8,3,0.7,0.3,17.6,13.4,0.535,4.1,-1.2,0.5,no
0.426,0.381,0.507,4,3.2,0.9,0.4,12.7,11.8,0.538,2.2,-1.9,0.1,no
0.396,0.29,0.456,7.2,1.8,0.5,0.5,13.7,9.7,0.491,-0.9,-4.4,-1,no
0.485,0.349,0.532,4.7,4.4,1.2,0.4,31.3,22.7,0.593,5.9,3.4,2.9,yes
0.44,0.399,0.547,4.4,2.4,0.8,0.2,19.6,14.6,0.57,1.3,-0.2,0.6,no
0.421,0.341,0.503,3.4,3.8,0.8,0.3,12.2,11.5,0.533,2.3,-2,0,no
0.473,0.438,0.602,3.6,3.3,1.1,0.3,16.4,17.6,0.616,3.9,3.6,1.8,no
0.439,0.39,0.536,3.9,1.9,0.6,0.1,17,14,0.588,5.2,-0.4,0.9,no
0.484,0.34,0.533,4.2,4.3,0.8,0.2,25.6,19.2,0.587,4.9,0.3,1.3,yes
0.543,0.425,0.643,4.3,2.1,1.1,0.9,13.5,16.4,0.667,8,3.3,3.1,no
0.503,0.4,0.596,6,2.2,0.7,0.8,12.7,14.7,0.625,4.2,0.2,1.1,no
0.453,0.388,0.527,5.3,5.9,0.9,0.3,21.2,17.9,0.561,4.2,2.1,2,no
0.419,0.344,0.481,2.9,2.3,1.2,0.4,17.2,12.1,0.515,1.4,-3.7,-0.9,no
0.484,0.397,0.558,6,3.4,1.2,0.6,24.7,19.9,0.586,4.8,2.5,2.3,yes
0.442,0.41,0.587,3.4,1.5,0.8,0.2,10.9,11.1,0.606,4.6,-0.1,0.9,no
0.497,0.245,0.514,6.9,7.1,2.1,0.3,21.5,26.5,0.607,9.3,7.7,4.3,no
0.594,,0.594,14.3,0.8,0.7,2,15.2,24.3,0.601,8.2,2.7,2.2,no
0.556,0.399,0.61,7.4,1.2,0.5,1,17.6,20.6,0.645,6.7,2.3,2,no
0.444,0.412,0.552,3.5,6,1.4,0.2,16.2,19.2,0.589,6.1,4.9,2.6,yes
0.401,0.379,0.533,6.7,1.7,1.4,1.2,8.5,11.2,0.553,3.7,0.2,1.2,no
0.482,0.421,0.605,5.5,5.8,1.2,0.1,32,26.3,0.655,9,8.7,5.8,yes
0.491,0.26,0.512,7.9,3.1,1.3,1.6,21.8,22.1,0.556,3.7,4.8,2,yes
0.495,0.257,0.505,4.2,6.9,0.9,0.2,21.6,22,0.591,7.4,3.1,2.6,no
0.479,0.35,0.55,8,8.6,1,0.5,27.7,25.3,0.587,7.7,6.8,5.1,yes
0.387,0.343,0.475,3.6,1.7,0.9,0.4,14,10.1,0.513,0.3,-3.5,-0.6,no
0.537,0.45,0.608,7.1,5.6,0.7,1.3,26.9,26.4,0.666,5,7.2,2.7,yes
0.417,0.329,0.488,4.7,2.9,1.1,0.5,19.3,13.9,0.523,0.8,-2.1,-0.1,no
0.513,0.377,0.545,10.6,2.8,1,1.4,28.5,30.3,0.636,8.8,7.5,3.8,yes
0.472,0.394,0.6,5.4,1.7,0.9,0.4,9.8,12,0.609,4.4,0.1,1,no
0.457,0.413,0.565,3,3.4,1.1,0.5,17.1,16.7,0.598,2.8,1.1,1,no
0.477,0.322,0.523,3.5,7.2,1.5,0.5,25.2,20.7,0.565,4.2,1.8,2,no
0.451,0.395,0.517,2.4,6.1,1.2,0.1,17.4,14.2,0.547,1.2,-2.1,-0.1,no
0.467,0.411,0.557,6.6,5.2,1.1,0.4,23.3,20.5,0.598,5.3,4.2,2.9,no
0.508,0.418,0.571,4.7,5.9,0.8,0.7,23.7,21.6,0.623,3.5,4.1,1.8,no
0.675,0,0.675,13.5,1.3,0.6,2.7,14.3,23.5,0.683,11.3,4.9,3.8,yes
0.377,0.375,0.51,2.7,5.4,0.9,0.1,14.8,14.6,0.552,3.4,0.7,1.1,no
0.429,0.35,0.491,4.6,2.8,0.6,1.1,22.3,16.9,0.556,3.2,1.1,1.4,no
0.447,0.27,0.492,7.1,8.9,1.7,0.8,7,13.3,0.53,4.6,1.7,1.9,no
0.478,0.328,0.513,5.5,1.4,0.8,0.1,13.8,11.4,0.549,2.1,-3.1,-0.5,no
0.472,0.409,0.569,3,5.3,1.3,0.5,13,16.2,0.585,3.5,1.4,1.5,no
0.466,0.362,0.548,7.9,10.8,1.2,0.8,24.6,24.5,0.618,7,7.2,3.7,no
0.505,0.475,0.654,3.6,1.9,0.7,0.2,14.1,14.1,0.663,5.2,0.4,1.3,no
0.512,0.394,0.556,6.8,3.5,0.9,0.8,19.5,20,0.597,7.1,3.7,2.9,no
0.473,0.415,0.537,5.9,4.1,1.2,0.3,19.6,17.6,0.584,3.5,1.6,1.4,no
0.439,0.36,0.516,5,3.4,0.6,0.3,15.1,13.3,0.543,1.7,-1.3,0.3,no
0.406,0.391,0.548,4.7,3.6,0.9,0.4,16.6,12.8,0.567,2.2,-0.6,0.9,no
0.503,0.392,0.57,4.5,6.1,1.6,0.6,17.7,20,0.592,6.6,3.4,2.6,no
0.413,0.382,0.551,3.6,1.7,1,0.6,10.5,10.4,0.571,3.1,-1,0.6,no
0.637,0.182,0.638,8.3,1.7,0.6,1.6,14.2,20.2,0.669,6.1,0.6,1.2,no
0.432,0.363,0.528,3.3,3.5,1.2,0.3,11.9,12.2,0.541,3.6,-0.3,1,no
0.466,0.381,0.531,4.9,4.9,0.7,0.6,23.8,19.2,0.584,5.3,2.2,2.2,no
0.506,0.402,0.576,4.8,6,1.4,0.7,26.9,24.4,0.614,7.4,5.5,3.6,yes
0.513,0.365,0.576,7.7,7.8,1.1,0.6,25,24.2,0.602,5.6,8.1,3.8,yes
0.566,0.388,0.602,10.8,8.3,1.3,0.7,26.4,31.3,0.647,15.6,12.1,8.8,yes
0.507,0.419,0.596,5,4.9,0.8,0.5,27.4,21.5,0.634,5.9,4,3.1,yes
0.512,0.398,0.568,6.5,5.2,1.6,0.4,24.8,26,0.622,8.8,7.3,4.2,yes
0.441,0.326,0.493,4.6,5.2,1.4,0.6,20.2,17.8,0.531,2.4,0.4,0.9,no
0.451,0.391,0.554,4.2,7.5,0.9,0.3,28.8,25.6,0.623,10.4,6.3,5,yes
0.436,0.396,0.546,5.4,7.3,1,0.3,17.2,16.5,0.593,4.1,1.6,1.5,no
0.458,0.402,0.554,3.9,4.7,0.9,0.4,23.1,20.8,0.577,4.7,3.9,2.4,no
